"id","country_id:id","name","code"
base.state_vn_VN-44,base.vn,"An Giang","VN-44"
base.state_vn_VN-57,base.vn,"Bình Dương","VN-57"
base.state_vn_VN-31,base.vn,"Bình Định","VN-31"
base.state_vn_VN-54,base.vn,"Bắc Giang","VN-54"
base.state_vn_VN-53,base.vn,"Bắc Kạn","VN-53"
base.state_vn_VN-55,base.vn,"Bạc Liêu","VN-55"
base.state_vn_VN-56,base.vn,"Bắc Ninh","VN-56"
base.state_vn_VN-58,base.vn,"Bình Phước","VN-58"
base.state_vn_VN-43,base.vn,"Bà Rịa - Vũng Tàu","VN-43"
base.state_vn_VN-40,base.vn,"Bình Thuận","VN-40"
base.state_vn_VN-50,base.vn,"Bến Tre","VN-50"
base.state_vn_VN-04,base.vn,"Cao Bằng","VN-04"
base.state_vn_VN-59,base.vn,"Cà Mau","VN-59"
base.state_vn_VN-CT,base.vn,"Cần Thơ","VN-CT"
base.state_vn_VN-71,base.vn,"Điện Biên","VN-71"
base.state_vn_VN-33,base.vn,"Đắk Lắk","VN-33"
base.state_vn_VN-DN,base.vn,"Đà Nẵng","VN-DN"
base.state_vn_VN-39,base.vn,"Đồng Nai","VN-39"
base.state_vn_VN-72,base.vn,"Đắk Nông","VN-72"
base.state_vn_VN-45,base.vn,"Đồng Tháp","VN-45"
base.state_vn_VN-30,base.vn,"Gia Lai","VN-30"
base.state_vn_VN-14,base.vn,"Hòa Bình","VN-14"
base.state_vn_VN-SG,base.vn,"Hồ Chí Minh","VN-SG"
base.state_vn_VN-61,base.vn,"Hải Dương","VN-61"
base.state_vn_VN-73,base.vn,"Hậu Giang","VN-73"
base.state_vn_VN-03,base.vn,"Hà Giang","VN-03"
base.state_vn_VN-HN,base.vn,"Hà Nội","VN-HN"
base.state_vn_VN-63,base.vn,"Hà Nam","VN-63"
base.state_vn_VN-HP,base.vn,"Hải Phòng","VN-HP"
base.state_vn_VN-23,base.vn,"Hà Tĩnh","VN-23"
base.state_vn_VN-66,base.vn,"Hưng Yên","VN-66"
base.state_vn_VN-47,base.vn,"Kiên Giang","VN-47"
base.state_vn_VN-34,base.vn,"Khánh Hòa","VN-34"
base.state_vn_VN-28,base.vn,"Kon Tum","VN-28"
base.state_vn_VN-41,base.vn,"Long An","VN-41"
base.state_vn_VN-02,base.vn,"Lào Cai","VN-02"
base.state_vn_VN-01,base.vn,"Lai Châu","VN-01"
base.state_vn_VN-35,base.vn,"Lâm Đồng","VN-35"
base.state_vn_VN-09,base.vn,"Lạng Sơn","VN-09"
base.state_vn_VN-22,base.vn,"Nghệ An","VN-22"
base.state_vn_VN-18,base.vn,"Ninh Bình","VN-18"
base.state_vn_VN-67,base.vn,"Nam Định","VN-67"
base.state_vn_VN-36,base.vn,"Ninh Thuận","VN-36"
base.state_vn_VN-68,base.vn,"Phú Thọ","VN-68"
base.state_vn_VN-32,base.vn,"Phú Yên","VN-32"
base.state_vn_VN-24,base.vn,"Quảng Bình","VN-24"
base.state_vn_VN-13,base.vn,"Quảng Ninh","VN-13"
base.state_vn_VN-27,base.vn,"Quảng Nam","VN-27"
base.state_vn_VN-29,base.vn,"Quảng Ngãi","VN-29"
base.state_vn_VN-25,base.vn,"Quảng Trị","VN-25"
base.state_vn_VN-05,base.vn,"Sơn La","VN-05"
base.state_vn_VN-52,base.vn,"Sóc Trăng","VN-52"
base.state_vn_VN-20,base.vn,"Thái Bình","VN-20"
base.state_vn_VN-46,base.vn,"Tiền Giang","VN-46"
base.state_vn_VN-21,base.vn,"Thanh Hóa","VN-21"
base.state_vn_VN-69,base.vn,"Thái Nguyên","VN-69"
base.state_vn_VN-37,base.vn,"Tây Ninh","VN-37"
base.state_vn_VN-07,base.vn,"Tuyên Quang","VN-07"
base.state_vn_VN-26,base.vn,"Thừa Thiên - Huế","VN-26"
base.state_vn_VN-51,base.vn,"Trà Vinh","VN-51"
base.state_vn_VN-49,base.vn,"Vĩnh Long","VN-49"
base.state_vn_VN-70,base.vn,"Vĩnh Phúc","VN-70"
base.state_vn_VN-06,base.vn,"Yên Bái","VN-06"